fiscal_year,case_type,n_cases,n_charges,n_people
2002,CF,6370,15555,7068
2002,CM,4314,6667,4436
2003,CF,6149,14922,6792
2003,CM,5316,7429,5426
2004,CF,6232,15594,6938
2004,CM,5888,7996,5964
2005,CF,6297,16243,6943
2005,CM,5969,8117,6028
2006,CF,6063,15445,6667
2006,CM,5953,8140,6008
2007,CF,6834,17673,7443
2007,CM,5910,8169,5953
2008,CF,5956,14790,6527
2008,CM,5620,8234,5677
2009,CF,5932,14747,6546
2009,CM,5343,7787,5397
2010,CF,5811,15052,6487
2010,CM,4671,6878,4730
2011,CF,5613,14488,6281
2011,CM,3942,5957,4016
2012,CF,6033,16521,6789
2012,CM,3903,5989,3978
2013,CF,7346,20880,8363
2013,CM,3976,6566,4070
2014,CF,9285,26515,10564
2014,CM,3932,6652,4073
2015,CF,9081,25290,10287
2015,CM,4277,7313,4430
2016,CF,9750,27648,11248
2016,CM,4231,7330,4380
2017,CF,10316,28021,11554
2017,CM,3818,7065,3976
2018,CF,4711,14783,5377
2018,CM,6664,13407,7054
2019,CF,4498,13980,5088
2019,CM,6684,12904,6972
2020,CF,4069,12398,4612
2020,CM,5568,10147,5802
2021,CF,3865,11214,4303
2021,CM,5105,10010,5291
2022,CF,3994,10921,4411
2022,CM,4945,9886,5125
2023,CF,3465,9081,3819
2023,CM,4755,9544,4907
