fiscal_year,case_type,n_cases,n_counts,n_people
2013,CF,4360,13733,4904
2013,CM,1407,3334,1451
2014,CF,5673,17666,6383
2014,CM,1363,3332,1424
2015,CM,1679,3996,1735
2015,CF,5596,16990,6309
2016,CF,6327,19327,7282
2016,CM,1590,3823,1644
2017,CF,6962,20152,7672
2017,CM,1564,3687,1604
2018,CF,2063,7920,2372
2018,CM,4568,10410,4734
2019,CF,1608,6427,1791
2019,CM,4440,9335,4464
2020,CF,1410,5723,1636
2020,CM,3351,6890,3416
2021,CF,1315,5137,1462
2021,CM,3222,7132,3244
2022,CF,1308,4869,1431
2022,CM,3270,7381,3303
